pillar,intent,keyword,volume,kd,ranks_in
Government/Admin Documents,Unclassified,bonafide certificate,135000,25,digilawyer
Agreement & Document Drafting,Unclassified,estamp,135000,29,digilawyer
Agreement & Document Drafting,Unclassified,affidavit,110000,59,digilawyer
Other,Unclassified,adopt,49500,63,digilawyer
Legal Notice — Consumer,Awareness,consumer rights,49500,22,lawspot
Legal Notice — Employment,Unclassified,posh,49500,47,digilawyer
Agreement & Document Drafting,Unclassified,stamp paper,49500,27,digilawyer
Lawyer Directory / Consultation,Action,advocate near me,40500,28,vakilapna
Agreement & Document Drafting,Unclassified,power of attorney,33100,50,digilawyer
Business Compliance,Unclassified,trademark registration,33100,43,lawspot
IPC/BNS & Law Explainers,Awareness,307 ipc,27100,25,digilawyer
Government/Admin Documents,Unclassified,gap certificate,27100,17,legalparihar
Agreement & Document Drafting,Unclassified,anti ragging affidavit,22200,34,digilawyer
Other,Unclassified,live in relationship,22200,23,digilawyer
Agreement & Document Drafting,Unclassified,partnership deed,22200,22,digilawyer
Agreement & Document Drafting,Unclassified,rent agreement,22200,37,digilawyer
IPC/BNS & Law Explainers,Awareness,406 ipc,18100,22,digilawyer
Agreement & Document Drafting,Unclassified,e stamp,18100,39,digilawyer
Agreement & Document Drafting,Unclassified,e stamp paper,18100,35,digilawyer
IPC/BNS & Law Explainers,Awareness,302 ipc,14800,24,digilawyer
Legal Notice — Cheque Bounce,Action,cheque bounce case,14800,28,lawspot
IPC/BNS & Law Explainers,Unclassified,show cause notice,14800,17,digilawyer
Agreement & Document Drafting,Decision,rent agreement format,12100,33,legalparihar
Lawyer Directory / Consultation,Decision,best lawyer in india,9900,35,digilawyer
Agreement & Document Drafting,Unclassified,leave and license agreement,9900,13,legalparihar
Lawyer Directory / Consultation,Decision,top advocate in india,9900,38,digilawyer
Lawyer Directory / Consultation,Decision,top lawyers in india,9900,32,digilawyer
Legal Notice — Family (Divorce),Decision,divorce procedure in india,8100,25,digilawyer+lawghar
Legal Notice — Family (Divorce),Decision,divorce process in india,8100,23,digilawyer+lawghar
Lawyer Directory / Consultation,Action,find a lawyer,8100,55,vakilapna
Legal Notice — Family (Divorce),Action,how to file for divorce,8100,21,digilawyer+lawspot
Lawyer Directory / Consultation,Unclassified,indian lawyer,8100,55,digilawyer
Lawyer Directory / Consultation,Action,online lawyer consultation,2900,44,digilawyer
Legal Notice — Cheque Bounce,Unclassified,cheque bounce,6600,31,lawspot
Legal Notice — Generic,Decision,legal notice format,6600,20,digilawyer
Legal Notice — Family (Divorce),Action,divorce notice,3600,22,digilawyer+lawspot+legalparihar
Legal Notice — Family (Divorce),Action,how to apply for divorce,2900,24,digilawyer+lawspot
Legal Notice — Family (Divorce),Action,how to file divorce in india,2900,17,digilawyer
Legal Notice — Generic,Unclassified,legal notice,2900,16,legalparihar
Legal Notice — Consumer,Decision,how to file a case in consumer court,4400,30,digilawyer
Legal Notice — Consumer,Awareness,consumer rights in india,1900,20,lawspot
Legal Notice — Family (Divorce),Decision,divorce petition format,1900,13,digilawyer
Legal Notice — Money Recovery,Unclassified,demand notice,1900,17,legalparihar
Legal Notice — Money Recovery,Unclassified,legal notice for recovery of money,2400,10,digilawyer+lawghar
Legal Notice — Money Recovery,Unclassified,legal notice for non payment,110,10,lawghar
Legal Notice — Money Recovery,Unclassified,legal notice for not returning money,210,8,lawghar
Legal Notice — Money Recovery,Unclassified,recovery notice,170,7,lawghar
Legal Notice — Money Recovery,Decision,recovery notice format,140,9,lawghar
Legal Notice — Money Recovery,Unclassified,recovery of money,110,11,lawghar
Agreement & Document Drafting,Action,rental agreement online,2400,33,digilawyer+legalparihar
Lawyer Directory / Consultation,Action,rental agreement near me,2900,19,legalparihar
Agreement & Document Drafting,Action,online rent agreement,3600,46,legalparihar
Agreement & Document Drafting,Action,online affidavit,2400,23,legalparihar
Agreement & Document Drafting,Unclassified,notarized affidavit,4400,31,legalparihar
Other,Unclassified,notarized,4400,64,legalparihar
Lawyer Directory / Consultation,Unclassified,advocate in delhi,1900,26,lawspot
Lawyer Directory / Consultation,Unclassified,family lawyer in delhi,140,14,vakilapna
Lawyer Directory / Consultation,Decision,top lawyers in delhi,480,24,vakilapna
Lawyer Directory / Consultation,Unclassified,civil lawyer delhi,210,7,vakilapna
Lawyer Directory / Consultation,Unclassified,advocates in hyderabad,2400,18,lawspot
Lawyer Directory / Consultation,Unclassified,criminal lawyer delhi high court,170,21,vakilapna
Lawyer Directory / Consultation,Action,criminal advocate near me,880,23,vakilapna
Lawyer Directory / Consultation,Action,marriage lawyer near me,590,16,vakilapna
Lawyer Directory / Consultation,Unclassified,court advocate,720,37,vakilapna
Lawyer Directory / Consultation,Unclassified,legal advocate,720,42,vakilapna
Lawyer Directory / Consultation,Action,legal advocate near me,480,24,vakilapna
Lawyer Directory / Consultation,Action,legal lawyer near me,320,45,vakilapna
Lawyer Directory / Consultation,Action,personal lawyer near me,320,37,vakilapna
Lawyer Directory / Consultation,Action,best lawyers near me,1600,55,vakilapna
Lawyer Directory / Consultation,Action,legal services near me,1000,68,vakilapna
Lawyer Directory / Consultation,Action,company lawyers near me,480,39,vakilapna
Lawyer Directory / Consultation,Action,good lawyers near me,110,40,vakilapna
Lawyer Directory / Consultation,Action,lawyer services near me,110,53,vakilapna
Lawyer Directory / Consultation,Unclassified,lawyers around me,110,16,vakilapna
Lawyer Directory / Consultation,Unclassified,vakeel,1600,50,vakilapna
Lawyer Directory / Consultation,Unclassified,indian advocate,1600,27,vakilapna
Lawyer Directory / Consultation,Action,vakil near me,590,22,vakilapna
Lawyer Directory / Consultation,Unclassified,vakil ka number,590,17,vakilapna
Lawyer Directory / Consultation,Unclassified,vakil saheb,480,48,vakilapna
Lawyer Directory / Consultation,Unclassified,vakil no 1,170,15,vakilapna
Lawyer Directory / Consultation,Action,vakil number,210,23,vakilapna
Lawyer Directory / Consultation,Action,vakil contact number,210,9,vakilapna
Other,Awareness,vakalat form,4400,23,lawghar
Other,Awareness,vakalat meaning,3600,19,lawghar
Other,Awareness,vakalatnama meaning,3600,17,lawghar
Other,Awareness,what is vakalat,1600,19,lawghar
Other,Awareness,what is vakalatnama,1600,13,lawghar
Legal Notice — Family (Divorce),Unclassified,mutual divorce,3600,12,lawghar
Legal Notice — Family (Divorce),Awareness,divorce rate in india,14800,36,lawghar
Legal Notice — Family (Divorce),Decision,mutual divorce process,4400,17,digilawyer
Legal Notice — Family (Divorce),Unclassified,mutual divorce in india,140,13,lawghar
Legal Notice — Family (Divorce),Decision,mutual consent divorce process,390,7,lawghar
Legal Notice — Family (Divorce),Decision,how to apply for mutual divorce,480,8,lawghar
Legal Notice — Family (Divorce),Decision,how to get mutual divorce,210,5,lawghar
Legal Notice — Family (Divorce),Decision,how to take mutual divorce,140,7,lawghar
Legal Notice — Family (Divorce),Action,procedure to file divorce in india,170,9,lawghar
Legal Notice — Family (Divorce),Action,procedure to file a divorce in india,170,5,lawghar
Legal Notice — Family (Divorce),Unclassified,process of filing divorce in india,170,7,lawghar
Legal Notice — Family (Divorce),Unclassified,divorce filing process in india,170,21,lawghar
Legal Notice — Family (Divorce),Decision,divorce procedure mutual consent india,140,8,lawghar
Legal Notice — Family (Divorce),Decision,what is the procedure for divorce,1600,15,lawghar
Legal Notice — Family (Divorce),Awareness,what is the process of divorce in india,590,18,lawghar
Legal Notice — Family (Divorce),Decision,steps of divorce in india,110,8,lawghar
Legal Notice — Family (Divorce),Decision,steps to divorce,110,16,lawghar
Legal Notice — Family (Divorce),Unclassified,divorce step by step,110,16,lawghar
Legal Notice — Family (Divorce),Unclassified,divorce steps in india,110,17,lawghar
Legal Notice — Family (Divorce),Decision,divorce process step by step,320,12,digilawyer
Legal Notice — Family (Divorce),Decision,legal procedure for divorce,140,18,lawghar
Legal Notice — Family (Divorce),Unclassified,divorce formalities,170,16,lawghar
Legal Notice — Family (Divorce),Unclassified,divorce application,2400,35,digilawyer
Legal Notice — Family (Divorce),Decision,divorce process,5400,23,digilawyer
Legal Notice — Family (Divorce),Decision,divorce procedure,4400,19,digilawyer+lawghar
Legal Notice — Family (Divorce),Decision,how to take divorce from husband in india,210,10,lawghar
Legal Notice — Family (Divorce),Unclassified,mutual divorce time,210,8,lawghar
