# Gap keywords: vakiltech.in does NOT rank; at least one of the 5 competitors does.
# Source: SEMRUSH domain_domains, db=in, 2 batches merged.
# Fields: keyword, search_volume, kd, cpc, competitors_ranking (abbreviated)
keyword,search_volume,kd,cpc,ranks_in
bonafide certificate,135000,25,0.00,digilawyer
estamp,135000,29,0.17,digilawyer
affidavit,110000,59,0.14,digilawyer
adopt,49500,63,2.39,digilawyer
consumer rights,49500,22,0.16,lawspot
posh,49500,47,0.30,digilawyer
stamp paper,49500,27,0.35,digilawyer
advocate near me,40500,28,0.26,vakilapna
power of attorney,33100,50,0.39,digilawyer
trademark registration,33100,43,0.41,lawspot
307 ipc,27100,25,0.00,digilawyer
gap certificate,27100,17,0.15,legalparihar
anti ragging affidavit,22200,34,0.00,digilawyer
live in relationship,22200,23,0.12,digilawyer
partnership deed,22200,22,0.11,digilawyer
rent agreement,22200,37,0.12,digilawyer
406 ipc,18100,22,0.00,digilawyer
e stamp,18100,39,0.27,digilawyer
e stamp paper,18100,35,0.22,digilawyer
302 ipc,14800,24,0.00,digilawyer
cheque bounce case,14800,28,0.21,lawspot
show cause notice,14800,17,0.00,digilawyer
rent agreement format,12100,33,0.04,legalparihar
best lawyer in india,9900,35,0.35,digilawyer
leave and license agreement,9900,13,0.15,legalparihar
top advocate in india,9900,38,0.19,digilawyer
top lawyers in india,9900,32,0.35,digilawyer
divorce procedure in india,8100,25,0.05,digilawyer+lawghar
divorce process in india,8100,23,0.05,digilawyer+lawghar
find a lawyer,8100,55,0.40,vakilapna
how to file for divorce,8100,21,0.04,digilawyer+lawspot
indian lawyer,8100,55,0.72,digilawyer
online lawyer consultation,2900,44,0.48,digilawyer
cheque bounce,6600,31,0.00,lawspot
legal notice format,6600,20,0.18,digilawyer
divorce notice,3600,22,0.07,digilawyer+lawspot+legalparihar
how to apply for divorce,2900,24,0.04,digilawyer+lawspot
how to file divorce in india,2900,17,0.03,digilawyer
legal notice,2900,16,0.46,legalparihar
how to file a case in consumer court,4400,30,0.08,digilawyer
consumer rights in india,1900,20,0.16,lawspot
divorce petition format,1900,13,0.13,digilawyer
demand notice,1900,17,0.00,legalparihar
legal notice for recovery of money,2400,10,0.15,digilawyer+lawghar
legal notice for non payment,110,10,0.00,lawghar
legal notice for not returning money,210,8,0.00,lawghar
recovery notice,170,7,0.00,lawghar
recovery notice format,140,9,0.00,lawghar
recovery of money,110,11,0.00,lawghar
rental agreement online,2400,33,0.16,digilawyer+legalparihar
rental agreement near me,2900,19,0.16,legalparihar
online rent agreement,3600,46,0.16,legalparihar
online affidavit,2400,23,0.12,legalparihar
notarized affidavit,4400,31,0.34,legalparihar
notarized,4400,64,0.47,legalparihar
advocate in delhi,1900,26,0.22,lawspot
family lawyer in delhi,140,14,0.48,vakilapna
top lawyers in delhi,480,24,0.22,vakilapna
civil lawyer delhi,210,7,0.30,vakilapna
advocates in hyderabad,2400,18,0.32,lawspot
criminal lawyer delhi high court,170,21,0.22,vakilapna
criminal advocate near me,880,23,0.22,vakilapna
marriage lawyer near me,590,16,0.29,vakilapna
court advocate,720,37,0.20,vakilapna
legal advocate,720,42,0.24,vakilapna
legal advocate near me,480,24,0.33,vakilapna
legal lawyer near me,320,45,0.31,vakilapna
personal lawyer near me,320,37,0.43,vakilapna
best lawyers near me,1600,55,0.18,vakilapna
legal services near me,1000,68,0.30,vakilapna
company lawyers near me,480,39,0.22,vakilapna
good lawyers near me,110,40,0.29,vakilapna
lawyer services near me,110,53,0.30,vakilapna
lawyers around me,110,16,0.38,vakilapna
vakeel,1600,50,0.65,vakilapna
indian advocate,1600,27,0.33,vakilapna
vakil near me,590,22,0.15,vakilapna
vakil ka number,590,17,0.15,vakilapna
vakil saheb,480,48,0.35,vakilapna
vakil no 1,170,15,0.27,vakilapna
vakil number,210,23,0.15,vakilapna
vakil contact number,210,9,0.00,vakilapna
vakalat form,4400,23,0.00,lawghar
vakalat meaning,3600,19,0.00,lawghar
vakalatnama meaning,3600,17,0.00,lawghar
what is vakalat,1600,19,0.00,lawghar
what is vakalatnama,1600,13,0.00,lawghar
mutual divorce,3600,12,0.06,lawghar
divorce rate in india,14800,36,0.00,lawghar
mutual divorce process,4400,17,0.06,digilawyer
mutual divorce in india,140,13,0.06,lawghar
mutual consent divorce process,390,7,0.05,lawghar
how to apply for mutual divorce,480,8,0.04,lawghar
how to get mutual divorce,210,5,0.03,lawghar
how to take mutual divorce,140,7,0.05,lawghar
procedure to file divorce in india,170,9,0.03,lawghar
procedure to file a divorce in india,170,5,0.03,lawghar
process of filing divorce in india,170,7,0.03,lawghar
divorce filing process in india,170,21,0.03,lawghar
divorce procedure mutual consent india,140,8,0.03,lawghar
what is the procedure for divorce,1600,15,0.06,lawghar
what is the process of divorce in india,590,18,0.05,lawghar
steps of divorce in india,110,8,0.04,lawghar
steps to divorce,110,16,0.07,lawghar
divorce step by step,110,16,0.05,lawghar
divorce steps in india,110,17,0.04,lawghar
divorce process step by step,320,12,0.05,digilawyer
legal procedure for divorce,140,18,0.07,lawghar
divorce formalities,170,16,0.03,lawghar
divorce application,2400,35,0.06,digilawyer
divorce process,5400,23,0.05,digilawyer
divorce procedure,4400,19,0.04,digilawyer+lawghar
how to take divorce from husband in india,210,10,0.03,lawghar
mutual divorce time,210,8,0.06,lawghar
mutual divorce papers,260,9,0.05,lawghar
first motion in divorce,140,6,0.00,lawghar
legal ai,6600,57,0.17,digilawyer
