pillar,intent,query,clicks,impressions,ctr,position
Lawyer Directory / Consultation,Unclassified,vakil,53,39741,0.13,4.0
Legal Notice — Generic,Unclassified,legal notice,26,5815,0.45,8.3
Legal Notice — Defamation (BNS 356),Awareness,356 bns,3,3244,0.09,5.1
Legal Notice — Money Recovery,Unclassified,legal notice for recovery of money,92,3019,3.05,3.8
Legal Notice — Defamation (BNS 356),Unclassified,defamation section in bns,11,2520,0.44,3.0
Legal Notice — Defamation (BNS 356),Awareness,defamation in bns,12,1849,0.65,3.0
Legal Notice — Defamation (BNS 356),Awareness,section 356 bns,5,1547,0.32,4.6
Legal Notice — Money Recovery,Decision,legal notice format for recovery of money,32,1170,2.74,6.3
Legal Notice — Defamation (BNS 356),Awareness,bns 356,1,1150,0.09,4.2
Legal Notice — Generic,Decision,legal notice format,16,1023,1.56,10.0
Lawyer Directory / Consultation,Unclassified,virtual vakil,2,885,0.23,6.2
Legal Notice — Generic,Action,legal notice by advocate,18,843,2.14,4.8
Lawyer Directory / Consultation,Unclassified,vakil vakil,2,804,0.25,3.2
Legal Notice — Defamation (BNS 356),Awareness,defamation under bns,13,743,1.75,3.4
Legal Notice — Defamation (BNS 356),Awareness,356 bns in hindi,1,728,0.14,9.1
Legal Notice — Generic,Action,send legal notice online,129,726,17.77,1.9
Legal Notice — Defamation (BNS 356),Awareness,bns 356 section,2,631,0.32,3.4
Lawyer Directory / Consultation,Unclassified,vakil advocate,2,581,0.34,3.9
Legal Notice — Generic,Action,legal notice charges,30,484,6.2,3.2
Legal Notice — Defamation (BNS 356),Awareness,criminal defamation in bns,6,446,1.35,2.3
IPC/BNS & Law Explainers,Awareness,bns section 356,2,408,0.49,4.4
Legal Notice — Generic,Action,send legal notice,50,401,12.47,3.5
Legal Notice — Defamation (BNS 356),Unclassified,defamation bns,0,400,0.0,2.9
Legal Notice — Generic,Action,how to send legal notice,9,392,2.3,4.8
Legal Notice — Generic,Action,legal notice online,86,390,22.05,1.6
Lawyer Directory / Consultation,Unclassified,virtualvakil,1,317,0.32,6.2
Legal Notice — Defamation (BNS 356),Unclassified,bns defamation section,0,314,0.0,3.6
Lawyer Directory / Consultation,Action,online vakil,2,311,0.64,5.5
Legal Notice — Generic,Action,online legal notice,50,297,16.84,1.4
Legal Notice — Defamation (BNS 356),Unclassified,sec 356 bns,2,283,0.71,4.3
Legal Notice — Money Recovery,Decision,legal notice for recovery of money format,17,279,6.09,5.7
Lawyer Directory / Consultation,Unclassified,vakiltech,200,275,72.73,1.4
Legal Notice — Generic,Action,send legal notice online free,39,262,14.89,2.9
Lawyer Directory / Consultation,Unclassified,vakil pro,6,260,2.31,8.7
Legal Notice — Defamation (BNS 356),Unclassified,defamation bns section,0,255,0.0,4.1
Other,Unclassified,manhani case,0,250,0.0,1.0
Legal Notice — Generic,Action,how to send legal notice to someone,3,247,1.21,6.1
Other,Action,how to send a legal notice,4,237,1.69,8.4
Lawyer Directory / Consultation,Unclassified,vakil lawyer,1,236,0.42,4.1
Legal Notice — Defamation (BNS 356),Awareness,356 bns is cognizable or not,1,234,0.43,2.3
Lawyer Directory / Consultation,Unclassified,advocate notice,0,229,0.0,6.7
Legal Notice — Money Recovery,Unclassified,recovery notice,2,220,0.91,3.9
Legal Notice — Money Recovery,Unclassified,legal notice for money recovery,6,217,2.76,3.0
Legal Notice — Defamation (BNS 356),Unclassified,criminal defamation bns,1,215,0.47,4.4
Lawyer Directory / Consultation,Unclassified,lawyer notice,0,213,0.0,7.5
IPC/BNS & Law Explainers,Unclassified,356 2 bns in hindi,0,208,0.0,9.4
Lawyer Directory / Consultation,Action,vakil online,6,195,3.08,6.7
Legal Notice — Cheque Bounce,Unclassified,cheque bounce legal notice,2,185,1.08,6.1
IPC/BNS & Law Explainers,Unclassified,356bns,0,185,0.0,5.0
Other,Unclassified,legal notice draft,4,179,2.23,8.9
Legal Notice — Defamation (BNS 356),Awareness,defamation in bns section,0,177,0.0,3.6
Other,Action,online notice,5,176,2.84,4.4
IPC/BNS & Law Explainers,Awareness,section 356 of bns,0,174,0.0,4.8
Other,Action,how to send a legal notice to someone,3,173,1.73,6.8
Lawyer Directory / Consultation,Unclassified,vakil notice,0,168,0.0,5.1
Legal Notice — Cheque Bounce,Decision,cheque bounce legal notice format,6,167,3.59,6.5
Legal Notice — Defamation (BNS 356),Unclassified,bharatiya nyaya sanhita 2023 defamation section number,0,166,0.0,9.7
Legal Notice — Money Recovery,Action,legal notice charges for recovery of money,9,162,5.56,2.4
Other,Unclassified,legal advice,0,157,0.0,4.2
Other,Action,how to send a legal notice to a company,5,155,3.23,4.8
Lawyer Directory / Consultation,Action,online lawyer consultation,0,154,0.0,6.3
Lawyer Directory / Consultation,Unclassified,advocate legal notice,1,152,0.66,4.0
Lawyer Directory / Consultation,Action,cost of sending legal notice through lawyer in india,0,151,0.0,5.5
Lawyer Directory / Consultation,Unclassified,vakil court,0,151,0.0,7.4
